,topic_a,topic_b
85,Software testing,Theory of computation
86,Computational linguistics,Data warehouse
87,Translator (computing),Parallel processing (DSP implementation)
88,Artificial intelligence,Test automation
89,Software quality management,Programming language
90,Assembly language,Software analytics
91,Assembly language,Knowledge management
92,Algorithm,Graphical model
93,Software development,Combinatorial optimization
94,Machine learning,Software project management
95,Software architecture,Discrete mathematics
96,Software architecture,Algorithm
97,Artificial intelligence,Software quality management
98,Theory of computation,Compiler
99,Machine learning,Information security
100,Data warehouse,Information retrieval
101,Computer architecture,Object-oriented design
102,Database,Software quality management
103,Robotics,Software architecture
104,Network security,Software project management
105,Internet protocol suite,Software metric
106,Knowledge management,Robotics
107,Broadband networks,Information management
108,Operating system,Artificial intelligence
109,Broadband networks,Microarchitecture
110,Wireless network,Test automation
111,Software architecture,Systems programming
112,Information management,Computer architecture
113,Software quality management,Game theory
114,Software development,Software metric
115,Wireless network,Software quality management
116,Object-oriented programming,Software metric
117,Computer network,Machine learning
118,Computer graphics,Cloud computing
119,Parallel computing,Machine learning
120,Algorithm,Information retrieval
121,Test automation,Natural language processing
122,Information management,Network security
123,Parallel computing,Object-oriented analysis and design
124,Test automation,Data mining
125,Modeling language,Natural language processing
126,Systems programming,Computer security
127,Parallel computing,Computational geometry
128,Information security,Software metric
129,Object-oriented design,Combinatorial optimization
130,Combinatorial optimization,Systems programming
131,Test automation,Mobile app development
132,Mobile app development,Data warehouse
133,Discrete mathematics,Software testing
134,Natural language processing,Computational geometry
135,Algorithm,Cryptography
136,Distributed object,Cloud computing
137,Software testing,Distributed object
138,Natural language processing,Parallel computing
139,Computer network,Distributed object
140,Systems programming,Game theory
141,Data integration,Algorithm
142,Computational geometry,Computer vision
143,Information retrieval,Data warehouse
144,Software analytics,Broadband networks
145,Software quality management,Data integration
146,Computer-aided software engineering,Data warehouse
147,Distributed object,Software development
148,Software development,Theory of computation
149,Mobile app development,Operating system
150,Theory of computation,Computer graphics
151,Discrete mathematics,Modeling language
152,Modeling language,Cloud computing
153,Computer security,Social network analysis
154,Database,Computer security
155,Cloud computing,Social network analysis
156,Broadband networks,Data-intensive computing
157,Broadband networks,Software analytics
158,Information retrieval,Assembly language
159,Algorithm,Social network analysis
160,Algorithm,Artificial intelligence
161,Software project management,Network service
162,Discrete mathematics,Cryptography
163,Computer vision,Robotics
164,Software metric,Computational geometry
165,Broadband networks,Knowledge management
166,Software development,Machine learning
167,Assembly language,Software development
168,Software quality management,Cloud computing
169,Software engineering,Data mining
170,Artificial intelligence,Data integration
171,Theory of computation,Cryptography
172,Combinatorial optimization,Software quality management
173,Combinatorial optimization,Network service
174,Algorithm,Operating system
175,Data integration,Network service
176,Cryptography,Analysis of algorithms
177,Knowledge management,Analysis of algorithms
178,Machine learning,Programming language
179,Discrete mathematics,Systems programming
180,Test automation,Graphical model
181,Data mining,Internet protocol suite
182,Parallel computing,Computer network
183,Data warehouse,Software project management
184,Assembly language,Mobile app development
185,Software quality management,Software analytics
186,Information retrieval,Broadband networks
187,Cryptography,Computer-aided software engineering
188,Robotics,Modeling language
189,Artificial intelligence,Translator (computing)
190,Software metric,Information management
191,Software testing,Network service
192,Operating system,Cryptography
193,Software quality management,Object-oriented design
194,Software analytics,Game theory
195,Robotics,Computational linguistics
196,Data warehouse,Robotics
197,Computational linguistics,Cryptography
198,Software architecture,Software quality management
199,Network service,Computer security
200,Data-intensive computing,Mobile app development
201,Broadband networks,Object-oriented design
202,Compiler,Data integration
203,Machine learning,Internet protocol suite
204,Software engineering,Software metric
205,Test automation,Object-oriented analysis and design
206,Systems programming,Distributed object
207,Computer vision,Software architecture
208,Computational geometry,Social network analysis
209,Information management,Software development
210,Social network analysis,Computational linguistics
211,Computational geometry,Database
212,Information retrieval,Operating system
213,Software architecture,Data-intensive computing
214,Test automation,Broadband networks
215,Analysis of algorithms,Distributed computing
216,Software engineering,Systems programming
217,Theory of computation,Distributed computing
218,Software testing,Computer vision
219,Translator (computing),Game theory
220,Distributed object,Discrete mathematics
221,Software architecture,Information retrieval
222,Distributed object,Network service
223,Machine learning,Knowledge management
224,Software analytics,Computer security
225,Social network analysis,Software metric
226,Computer architecture,Information retrieval
227,Computer graphics,Cryptography
228,Systems programming,Software testing
229,Game theory,Data warehouse
230,Object-oriented analysis and design,Assembly language
231,Graphical model,Assembly language
232,Software project management,Computer vision
233,Distributed object,Data warehouse
234,Game theory,Software project management
235,Combinatorial optimization,Data-intensive computing
236,Assembly language,Software quality management
237,Computer-aided software engineering,Operating system
238,Database,Software analytics
239,Information retrieval,Software testing
240,Computer network,Data warehouse
241,Object-oriented programming,Mobile app development
242,Software engineering,Software analytics
243,Software architecture,Graphical model
244,Information retrieval,Computational linguistics
245,Software quality management,Algorithm
246,Computer vision,Software quality management
247,Assembly language,Translator (computing)
248,Computational geometry,Data mining
249,Software development,Computational geometry
250,Game theory,Computational linguistics
251,Wireless network,Theory of computation
252,Object-oriented programming,Software testing
253,Assembly language,Computational linguistics
254,Compiler,Combinatorial optimization
255,Wireless network,Mobile app development
256,Object-oriented design,Test automation
257,Microarchitecture,Theory of computation
258,Algorithm,Parallel computing
259,Compiler,Information security
260,Systems programming,Combinatorial optimization
261,Software analytics,Knowledge management
262,Broadband networks,Machine learning
263,Data-intensive computing,Translator (computing)
264,Algorithm,Machine learning
265,Information retrieval,Software project management
266,Software engineering,Software testing
267,Computer-aided software engineering,Information security
268,Translator (computing),Computer graphics
269,Network security,Software analytics
270,Computer graphics,Computer security
271,Computer security,Distributed object
272,Distributed object,Software testing
273,Discrete mathematics,Combinatorial optimization
274,Information management,Data integration
275,Distributed computing,Robotics
276,Distributed computing,Combinatorial optimization
277,Cryptography,Object-oriented design
278,Data structure,Information management
279,Social network analysis,Software development
280,Systems programming,Cloud computing
281,Internet protocol suite,Microarchitecture
282,Object-oriented programming,Knowledge management
283,Computer-aided software engineering,Translator (computing)
284,Data structure,Internet protocol suite
285,Systems programming,Distributed computing
286,Knowledge management,Network service
287,Database,Combinatorial optimization
288,Parallel processing (DSP implementation),Computational geometry
289,Software analytics,Database
290,Distributed computing,Discrete mathematics
291,Artificial intelligence,Cloud computing
292,Operating system,Software development
293,Object-oriented design,Computer graphics
294,Analysis of algorithms,Computer graphics
295,Modeling language,Computer-aided software engineering
296,Theory of computation,Software quality management
297,Operating system,Data warehouse
298,Modeling language,Broadband networks
299,Computer security,Software testing
300,Computational linguistics,Computer network
301,Discrete mathematics,Computational geometry
302,Software quality management,Network service
303,Game theory,Software quality management
304,Internet protocol suite,Graphical model
305,Systems programming,Theory of computation
306,Object-oriented programming,Computer graphics
307,Game theory,Object-oriented analysis and design
308,Robotics,Software metric
309,Natural language processing,Data mining
310,Analysis of algorithms,Network service
311,Software project management,Theory of computation
312,Data-intensive computing,Computer vision
313,Network service,Computational geometry
314,Operating system,Microarchitecture
315,Data-intensive computing,Compiler
316,Distributed object,Assembly language
317,Programming language,Information retrieval
318,Broadband networks,Operating system
319,Data mining,Test automation
320,Data structure,Software quality management
321,Compiler,Data warehouse
322,Game theory,Data integration
323,Microarchitecture,Combinatorial optimization
324,Computational linguistics,Computer vision
325,Information retrieval,Wireless network
326,Parallel computing,Database
327,Software quality management,Artificial intelligence
328,Software project management,Wireless network
329,Distributed object,Internet protocol suite
330,Modeling language,Computer vision
331,Algorithm,Software engineering
332,Assembly language,Operating system
333,Algorithm,Software quality management
334,Computer security,Artificial intelligence
335,Network security,Data mining
336,Computer architecture,Graphical model
337,Systems programming,Information retrieval
338,Data integration,Combinatorial optimization
339,Wireless network,Network security
340,Algorithm,Data warehouse
341,Computational geometry,Mobile app development
342,Distributed computing,Machine learning
343,Network service,Software engineering
344,Network service,Object-oriented design
345,Internet protocol suite,Modeling language
346,Programming language,Theory of computation
347,Natural language processing,Cryptography
348,Cryptography,Parallel computing
349,Object-oriented programming,Microarchitecture
350,Algorithm,Parallel processing (DSP implementation)
351,Robotics,Natural language processing
352,Software testing,Software quality management
353,Microarchitecture,Software architecture
354,Computer security,Internet protocol suite
355,Software analytics,Theory of computation
356,Computer security,Computational geometry
357,Combinatorial optimization,Information management
358,Software quality management,Computer vision
359,Computer graphics,Network service
360,Internet protocol suite,Software quality management
361,Robotics,Analysis of algorithms
362,Test automation,Information security
363,Programming language,Computer security
364,Assembly language,Parallel processing (DSP implementation)
365,Data structure,Combinatorial optimization
366,Systems programming,Graphical model
367,Parallel computing,Translator (computing)
368,Data-intensive computing,Parallel computing
369,Robotics,Software quality management
370,Parallel processing (DSP implementation),Combinatorial optimization
371,Software metric,Robotics
372,Assembly language,Computer network
373,Information retrieval,Translator (computing)
374,Software engineering,Machine learning
375,Object-oriented design,Computer architecture
376,Data mining,Data integration
377,Data-intensive computing,Algorithm
378,Software metric,Assembly language
379,Computer graphics,Computer network
380,Computational geometry,Combinatorial optimization
381,Wireless network,Software testing
382,Software architecture,Information management
383,Software metric,Computer graphics
384,Software quality management,Systems programming
385,Computational linguistics,Object-oriented design
386,Translator (computing),Modeling language
387,Network security,Software quality management
388,Computer architecture,Cryptography
389,Artificial intelligence,Systems programming
390,Artificial intelligence,Analysis of algorithms
391,Distributed computing,Computer graphics
392,Software project management,Microarchitecture
393,Graphical model,Translator (computing)
394,Analysis of algorithms,Artificial intelligence
395,Assembly language,Computer architecture
396,Robotics,Computer-aided software engineering
397,Programming language,Parallel processing (DSP implementation)
398,Software analytics,Programming language
399,Natural language processing,Wireless network
400,Robotics,Software engineering
401,Network security,Broadband networks
403,Artificial intelligence,Cryptography
404,Programming language,Data-intensive computing
405,Cryptography,Software analytics
406,Object-oriented design,Network security
407,Software metric,Data-intensive computing
408,Graphical model,Cloud computing
409,Software testing,Analysis of algorithms
410,Distributed computing,Theory of computation
411,Distributed object,Software architecture
412,Cryptography,Broadband networks
413,Software engineering,Computer security
414,Compiler,Test automation
415,Information retrieval,Compiler
416,Operating system,Computational geometry
417,Knowledge management,Test automation
418,Operating system,Internet protocol suite
419,Knowledge management,Microarchitecture
420,Data mining,Object-oriented programming
421,Knowledge management,Parallel processing (DSP implementation)
422,Parallel processing (DSP implementation),Mobile app development
423,Software engineering,Computer graphics
424,Compiler,Software quality management
426,Parallel computing,Distributed computing
427,Information management,Analysis of algorithms
428,Computer-aided software engineering,Software architecture
429,Software development,Data structure
430,Parallel computing,Combinatorial optimization
431,Data integration,Theory of computation
432,Software analytics,Modeling language
433,Information security,Compiler
434,Software project management,Graphical model
435,Programming language,Natural language processing
436,Algorithm,Internet protocol suite
438,Test automation,Software analytics
439,Theory of computation,Graphical model
440,Algorithm,Object-oriented programming
441,Software project management,Cryptography
442,Information security,Broadband networks
443,Theory of computation,Network security
444,Social network analysis,Object-oriented programming
445,Discrete mathematics,Graphical model
446,Software quality management,Software architecture
447,Test automation,Cloud computing
448,Modeling language,Information security
449,Data integration,Cloud computing
450,Knowledge management,Computer-aided software engineering
451,Artificial intelligence,Parallel computing
452,Network service,Software metric
453,Computational linguistics,Database
454,Graphical model,Software engineering
455,Object-oriented programming,Computational linguistics
456,Algorithm,Software testing
457,Graphical model,Software testing
458,Natural language processing,Assembly language
459,Software metric,Programming language
460,Software quality management,Object-oriented programming
461,Computer network,Object-oriented analysis and design
462,Cryptography,Computer vision
463,Network security,Compiler
464,Translator (computing),Operating system
465,Cloud computing,Software testing
466,Robotics,Data mining
467,Computer-aided software engineering,Cloud computing
468,Combinatorial optimization,Distributed computing
469,Broadband networks,Object-oriented analysis and design
470,Software quality management,Object-oriented analysis and design
471,Programming language,Computer-aided software engineering
472,Software analytics,Internet protocol suite
473,Computational geometry,Computer security
474,Parallel processing (DSP implementation),Compiler
475,Systems programming,Robotics
476,Compiler,Data structure
477,Cloud computing,Broadband networks
478,Programming language,Data mining
479,Internet protocol suite,Machine learning
480,Computer architecture,Parallel processing (DSP implementation)
481,Distributed computing,Data warehouse
482,Data-intensive computing,Systems programming
483,Translator (computing),Object-oriented design
484,Information retrieval,Modeling language
485,Data warehouse,Information security
486,Data-intensive computing,Analysis of algorithms
487,Computer graphics,Software architecture
488,Parallel processing (DSP implementation),Artificial intelligence
489,Cloud computing,Wireless network
490,Translator (computing),Computational geometry
491,Computational linguistics,Theory of computation
492,Information security,Software development
493,Object-oriented design,Translator (computing)
494,Data-intensive computing,Assembly language
495,Parallel computing,Computer architecture
496,Software metric,Parallel processing (DSP implementation)
497,Mobile app development,Translator (computing)
498,Parallel processing (DSP implementation),Object-oriented programming
499,Software analytics,Robotics
500,Data-intensive computing,Software architecture
501,Software project management,Object-oriented analysis and design
502,Software project management,Test automation
503,Social network analysis,Computer graphics
504,Data structure,Object-oriented programming
505,Compiler,Data mining
506,Parallel processing (DSP implementation),Data-intensive computing
507,Computer-aided software engineering,Robotics
508,Software development,Cryptography
509,Information retrieval,Object-oriented design
510,Machine learning,Translator (computing)
511,Object-oriented design,Wireless network
512,Analysis of algorithms,Object-oriented analysis and design
513,Wireless network,Object-oriented design
514,Database,Graphical model
515,Data warehouse,Data structure
516,Parallel computing,Information security
517,Data mining,Combinatorial optimization
518,Mobile app development,Computational geometry
519,Parallel processing (DSP implementation),Robotics
520,Assembly language,Cryptography
521,Discrete mathematics,Software engineering
522,Game theory,Parallel processing (DSP implementation)
523,Test automation,Computer security
524,Software analytics,Artificial intelligence
525,Computer security,Information retrieval
526,Knowledge management,Assembly language
527,Data mining,Software architecture
528,Combinatorial optimization,Data integration
529,Assembly language,Internet protocol suite
530,Internet protocol suite,Computer security
531,Distributed object,Programming language
532,Computer network,Network service
533,Software quality management,Parallel processing (DSP implementation)
534,Systems programming,Software engineering
535,Data warehouse,Translator (computing)
536,Computational geometry,Software analytics
537,Distributed computing,Software project management
538,Cryptography,Modeling language
539,Computer graphics,Software quality management
540,Software testing,Broadband networks
541,Graphical model,Combinatorial optimization
542,Network service,Computer architecture
543,Distributed computing,Wireless network
544,Cryptography,Information management
545,Assembly language,Data warehouse
546,Data warehouse,Computer security
547,Test automation,Social network analysis
548,Software engineering,Network security
549,Microarchitecture,Natural language processing
550,Software analytics,Parallel processing (DSP implementation)
551,Graphical model,Data integration
552,Data structure,Social network analysis
553,Object-oriented design,Broadband networks
555,Information retrieval,Distributed computing
556,Computational geometry,Object-oriented programming
557,Computational linguistics,Graphical model
558,Microarchitecture,Computer graphics
559,Distributed object,Wireless network
560,Information security,Parallel computing
561,Robotics,Mobile app development
562,Knowledge management,Wireless network
563,Parallel computing,Information management
564,Test automation,Cryptography
565,Information security,Mobile app development
566,Information management,Software metric
567,Computer graphics,Systems programming
568,Programming language,Software development
569,Data-intensive computing,Theory of computation
